Id,Level,Reading_On,Reading_Kun,Strokes
会,9,"['カイ', 'エ']","['あ（う）', 'あつ（まる）', 'あつ（める）']",6
回,9,"['カイ', 'エ']","['まわ（す）', 'まわ（る）', 'めぐ（らす）', 'めぐ（る）']",6
海,9,['カイ'],['うみ'],9
氵,-1,,,-1
毎,9,"['マイ', 'バイ']","['ごと', 'つね', 'むさぼ（る）']",6
絵,9,"['エ', 'カイ']",['えが（く）'],12
外,9,"['ガイ', 'ゲ', 'ウイ']","['そと', 'はず（す）', 'はず（れる）', 'ほか', 'と']",5
卜,1,"['ホク', 'ボク']","['うらな（い）', 'うらな（う）']",2
角,9,"['カク', 'ロク']","['かど', 'つの', 'くら（べる）', 'すみ']",7
楽,9,"['ガク', 'ラク', 'ギョウ', 'ゴウ']","['たの（しい）', 'たの（しむ）', 'かな（でる）', 'この（む）']",13
活,9,['カツ'],"['い（かす）', 'い（きる）', 'い（ける）']",9
舌,5,"['ゼツ', 'セツ']","['した', 'ことば']",6
顔,9,['ガン'],"['かお', 'かんばせ']",18
彦,1,['ゲン'],['ひこ'],9
頁,1,"['ケツ', 'ヨウ']","['かしら', 'ページ']",9
岩,9,['ガン'],['いわ'],8
丸,9,['ガン'],"['まる', 'まる（い）', 'まる（める）', 'たま']",3
記,9,['キ'],['しる（す）'],10
言,9,"['ゲン', 'ゴン', 'ギン']","['い（う）', 'こと', 'ことば']",7
己,5,"['コ', 'キ']","['おのれ', 'つちのと']",3
汽,9,['キ'],['ゆげ'],7
帰,9,['キ'],"['かえ（す）', 'かえ（る）', 'おく（る）', 'とつ（ぐ）']",10
帚,1,"['シュウ', 'ソウ']","['は（く）', 'ほうき']",8
牛,9,"['ギュウ', 'ゴ']",['うし'],4
魚,9,['ギョ'],"['うお', 'さかな']",11
⺈,-1,,,-1
灬,-1,,,-1
教,9,['キョウ'],"['おし（える）', 'おそ（わる）']",11
孝,5,"['コウ', 'キョウ']",[],7
攵,-1,"['ホク', 'ボク']",['う（つ）'],4
強,9,"['キョウ', 'ゴウ']","['つよ（い）', 'つよ（まる）', 'つよ（める）', 'し（いる）', 'あなが（ち）', 'こわ（い）', 'したた（か）', 'つと（める）']",11
厶,-1,"['シ', 'ボウ']",['ござ（る）'],2
近,9,"['キン', 'コン']",['ちか（い）'],7
斤,3,['キン'],['おの'],4
今,9,"['コン', 'キン']",['いま'],4
亼,-1,,,-1
兄,9,"['キョウ', 'ケイ']","['あに', 'え']",5
形,9,"['ギョウ', 'ケイ']","['かた', 'かたち', 'なり']",7
开,-1,,,-1
彡,-1,['サン'],[],3
京,9,"['キョウ', 'ケイ', 'キン']",['みやこ'],8
計,9,['ケイ'],"['はか（らう）', 'はか（る）', 'かぞ（える）']",9
原,9,['ゲン'],"['はら', 'たず（ねる）', 'もと', 'ゆる（す）']",10
厂,-1,['カン'],[],2
元,9,"['ガン', 'ゲン']","['もと', 'はじ（め）']",4
古,9,['コ'],"['ふる（い）', 'ふる（す）', 'いにしえ']",5
戸,9,['コ'],"['と', 'へ']",4
語,9,"['ゴ', 'ギョ']","['かた（らう）', 'かた（る）', 'ことば', 'つ（げる）']",14
吾,1,['ゴ'],"['わ（が）', 'われ']",7
午,9,['ゴ'],"['うま', 'ひる']",4
後,9,"['ゴ', 'コウ']","['あと', 'うし（ろ）', 'のち', 'おく（れる）', 'しり']",9
彳,-1,['テキ'],['たたず（む）'],3
広,9,['コウ'],"['ひろ（い）', 'ひろ（がる）', 'ひろ（げる）', 'ひろ（まる）', 'ひろ（める）']",5
广,-1,['ゲン'],[],3
父,9,"['フ', 'ブ', 'ホ']",['ちち'],4
光,9,['コウ'],"['ひかり', 'ひか（る）']",6
⺌,-1,,,-1
公,9,"['コウ', 'ク']","['おおやけ', 'きみ']",4
考,9,['コウ'],['かんが（える）'],6
耂,-1,[],[],4
丂,-1,['コウ'],[],2
黄,9,"['オウ', 'コウ']","['き', 'こ']",11
行,9,"['ギョウ', 'コウ', 'アン']","['い（く）', 'おこな（う）', 'ゆ（く）', 'し（ぬ）', 'みち', 'や（る）']",6
亍,-1,['チョク'],[],3
高,9,['コウ'],"['たか', 'たか（い）', 'たか（まる）', 'たか（める）']",10
冋,-1,,,-1
合,9,"['カッ', 'ガッ', 'ゴウ', 'コウ']","['あ（う）', 'あ（わす）', 'あ（わせる）']",6
国,9,['コク'],['くに'],8
谷,9,"['コク', 'ロク']","['たに', 'きわ（まる）', 'や']",7
黒,9,['コク'],"['くろ', 'くろ（い）']",11
里,9,['リ'],['さと'],7
細,9,['サイ'],"['こま（か）', 'こま（かい）', 'ほそ（い）', 'ほそ（る）', 'くわ（しい）', 'ささ（やか）']",11
才,9,['サイ'],"['かど', 'ざえ']",3
作,9,"['サ', 'サク']","['つく（る）', 'な（す）']",7
乍,1,['サ'],"['たちま（ち）', 'なが（ら）']",5
算,9,['サン'],"['かず', 'かぞ（える）']",14
廾,-1,['キョウ'],[],3
紙,9,['シ'],['かみ'],10
氏,7,['シ'],['うじ'],4
矢,9,['シ'],['や'],5
姉,9,['シ'],['あね'],8
巿,-1,,,-1
市,9,['シ'],['いち'],5
巾,2,['キン'],"['きれ', 'はば', 'ふきん']",3
時,9,['ジ'],['とき'],10
寺,9,['ジ'],['てら'],6
色,9,"['シキ', 'ショク']",['いろ'],6
巴,1,['ハ'],"['うずまき', 'ともえ']",4
室,9,['シツ'],"['むろ', 'いえ', 'つま', 'へや']",9
至,5,['シ'],['いた（る）'],6
社,9,"['シャ', 'ジャ']",['やしろ'],7
礻,-1,[],[],4
弱,9,"['ジャク', 'ニャク']","['よわ（い）', 'よわ（まる）', 'よわ（める）', 'よわ（る）']",10
冫,-1,['ヒョウ'],['こおり'],2
首,9,['シュ'],"['くび', 'かしら', 'こうべ', 'はじ（め）', 'もう（す）']",9
丷,-1,,,-1
週,9,['シュウ'],['めぐ（る）'],11
周,7,"['シュウ', 'ス']","['まわ（り）', 'あまね（く）', 'めぐ（る）']",8
秋,9,['シュウ'],"['あき', 'とき']",9
春,9,['シュン'],['はる'],9
書,9,['ショ'],"['か（く）', 'ふみ']",10
聿,1,"['イチ', 'イツ']","['おさ（める）', 'の（べる）', 'ふで']",6
少,9,['ショウ'],"['すく（ない）', 'すこ（し）', 'しばら（く）', 'まれ', 'わか（い）']",4
場,9,['ジョウ'],['ば'],12
昜,1,['ヨウ'],"['あ（がる）', 'ひら（く）']",9
食,9,"['ショク', 'ジキ', 'イ', 'シ']","['く（う）', 'た（べる）', 'く（らう）', 'は（む）']",9
新,9,['シン'],"['あたら（しい）', 'あら（た）', 'にい', 'さら']",13
亲,-1,,,-1
親,9,['シン'],"['おや', 'した（しい）', 'した（しむ）', 'みずか（ら）']",16
心,9,['シン'],"['こころ', 'うら']",4
図,9,"['ズ', 'ト']","['はか（る）', 'え']",7
頭,9,"['ズ', 'トウ', 'ト', 'ジュウ']","['あたま', 'かしら', 'かぶり', 'かみ', 'こうべ', 'ほとり']",16
豆,8,"['ズ', 'トウ']","['まめ', 'たかつき']",7
数,9,"['スウ', 'ス', 'サク', 'シュ', 'ソク']","['かず', 'かぞ（える）', 'しばしば']",13
娄,-1,,,-1
西,9,"['サイ', 'セイ', 'スイ']",['にし'],6
星,9,"['セイ', 'ショウ']",['ほし'],9
声,9,"['セイ', 'ショウ']","['こえ', 'こわ']",7
士,6,['シ'],['さむらい'],3
晴,9,['セイ'],"['は（らす）', 'は（れる）']",12
雪,9,['セツ'],"['ゆき', 'すす（ぐ）', 'そそ（ぐ）']",11
彐,-1,,,-1
切,9,"['セツ', 'サイ']","['き（る）', 'き（れる）']",4
刀,9,['トウ'],['かたな'],2
船,9,['セン'],"['ふな', 'ふね']",11
舟,4,"['シュウ', 'シュ']","['ふな', 'ふね']",6
㕣,-1,,,-1
線,9,['セン'],"['いと', 'すじ']",15
泉,5,['セン'],['いずみ'],9
前,9,"['ゼン', 'セン']","['まえ', 'さき']",9
䒑,-1,,,-1
刖,-1,,,-1
組,9,['ソ'],"['くみ', 'く（む）', 'くみひも']",11
且,2,['ショ'],"['か（つ）', 'しばら（く）', 'まさ（に）']",5
走,9,['ソウ'],['はし（る）'],7
太,9,"['タ', 'タイ', 'ダイ']","['ふと（い）', 'ふと（る）', 'はなは（だ）']",4
多,9,['タ'],['おお（い）'],6
体,9,"['タイ', 'テイ']",['からだ'],7
台,9,"['タイ', 'ダイ', 'イ']","['うてな', 'しもべ']",5
弟,9,"['ダイ', 'デ', 'テイ']",['おとうと'],7
弚,-1,,,-1
池,9,['チ'],['いけ'],6
也,1,['ヤ'],"['か', 'なり', 'また', 'や']",3
地,9,"['ジ', 'チ']","['つち', 'ところ']",6
知,9,['チ'],"['し（る）', 'し（らせる）']",8
茶,9,"['チャ', 'サ']",[],9
朩,-1,,,-1
昼,9,['チュウ'],['ひる'],9
尺,5,"['シャク', 'セキ']","['さし', 'ものさし', 'わず（か）']",4
旦,2,"['タン', 'ダン']",['あした'],5
長,9,"['チョウ', 'ジョウ']","['なが（い）', 'おさ', 'た（ける）']",8
朝,9,['チョウ'],"['あさ', 'あした']",12
龺,-1,,,-1
鳥,9,['チョウ'],['とり'],11
直,9,"['ジキ', 'チョク', 'チ']","['ただ（ちに）', 'なお（す）', 'なお（る）', 'あたい', 'じか', 'すぐ', 'ひた']",8
通,9,"['ツウ', 'ツ']","['かよ（う）', 'とお（す）', 'とお（る）']",10
甬,-1,['ヨウ'],[],7
点,9,['テン'],"['た（てる）', 'つ（ける）', 'とぼ（す）', 'とぼ（る）', 'とも（る）']",9
占,4,['セン'],"['うらな（う）', 'し（める）']",5
店,9,['テン'],"['みせ', 'たな']",8
電,9,"['デン', 'テン']",['いなずま'],13
乚,-1,"['イツ', 'オツ', 'イン', 'オン']",[],1
冬,9,['トウ'],['ふゆ'],5
⺀,-1,,,-1
当,9,['トウ'],"['あ（たる）', 'あ（てる）', 'まさ（に）']",6
答,9,['トウ'],"['こた（え）', 'こた（える）']",12
東,9,['トウ'],"['ひがし', 'あずま']",8
道,9,"['ドウ', 'トウ']","['みち', 'い（う）', 'みちび（く）']",12
同,9,"['ドウ', 'トウ']","['おな（じ）', 'とも（に）']",6
冂,-1,"['キョウ', 'ケイ']",[],2
読,9,"['トウ', 'トク', 'ドク']",['よ（む）'],14
売,9,['バイ'],"['う（る）', 'う（れる）']",7
内,9,"['ナイ', 'ダイ', 'ドウ', 'ノウ']","['うち', 'い（る）', 'い（れる）']",4
南,9,"['ナン', 'ナ', 'ダン']",['みなみ'],9
干,5,['カン'],"['ほ（す）', 'ひ（る）', 'おか（す）', 'かか（わる）', 'たて', 'もと（める）']",3
肉,9,"['ニク', 'ジク']",['しし'],6
馬,9,"['バ', 'マ', 'メ']","['うま', 'ま']",10
買,9,['バイ'],['か（う）'],12
罒,-1,[],[],5
麦,9,['バク'],['むぎ'],7
半,9,['ハン'],['なか（ば）'],5
番,9,"['バン', 'ハ', 'ハン']","['つが（い）', 'つが（う）', 'つが（える）']",12
釆,-1,"['ハン', 'ベン']",['のごめ'],7
歩,9,"['ホ', 'ブ', 'フ']","['あゆ（む）', 'ある（く）']",8
風,9,"['フウ', 'フ']","['かざ', 'かぜ', 'すがた', 'ならわし', 'ふり']",9
几,1,['キ'],"['つくえ', 'ひじかけ', 'おしまずき']",2
䖝,-1,['チュウ'],['むし'],7
分,9,"['ブ', 'フン', 'ブン']","['わ（かつ）', 'わ（かる）', 'わ（かれる）', 'わ（ける）']",4
聞,9,"['ブン', 'モン']","['き（く）', 'き（こえる）']",14
門,9,"['モン', 'ボン']","['かど', 'いえ', 'と', 'みうち']",8
米,9,"['ベイ', 'マイ', 'メ']","['こめ', 'メートル', 'よね']",6
母,9,"['ボ', 'ボウ', 'モ']",['はは'],5
方,9,['ホウ'],"['かた', 'かく', 'ただ（しい）', 'まさ（に）']",4
北,9,"['ホク', 'ハイ']","['きた', 'そむ（く）', 'に（げる）']",5
𠂉,-1,,,-1
毋,1,"['ブ', 'ム']","['な（い）', 'なか（れ）']",4
妹,9,"['マイ', 'バイ']","['いもうと', 'いも']",8
未,7,"['ミ', 'ビ']","['いま（だ）', 'ひつじ', 'ま（だ）']",5
万,9,"['マン', 'バン']",['よろず'],3
鳴,9,"['メイ', 'ミョウ']","['な（く）', 'な（らす）', 'な（る）']",14
明,9,"['ミョウ', 'メイ', 'ミン']","['あ（かす）', 'あか（らむ）', 'あ（かり）', 'あか（るい）', 'あか（るむ）', 'あき（らか）', 'あ（く）', 'あ（くる）', 'あ（ける）']",8
毛,9,"['モウ', 'ボウ']",['け'],4
野,9,"['ヤ', 'ショ']","['の', 'いなかや', 'いや（しい）']",11
予,8,['ヨ'],"['あた（える）', 'あらかじ（め）', 'かね（て）', 'ゆる（す）', 'われ']",4
夜,9,['ヤ'],"['よ', 'よる']",8
友,9,"['ユウ', 'ウ']",['とも'],4
又,3,"['ウ', 'ユウ']","['また', 'ふたた（び）']",2
曜,9,['ヨウ'],['かがや（く）'],18
翟,-1,"['タク', 'テキ']",[],14
用,9,['ヨウ'],"['もち（いる）', 'はたら（き）', 'もっ（て）']",5
来,9,['ライ'],"['く（る）', 'きた（す）', 'きた（る）', 'き（し）', 'こ（し）']",7
甲,3,"['カン', 'コウ']","['かぶと', 'きのえ', 'つめ', 'よろい']",5
理,9,['リ'],"['おさ（める）', 'ことわり', 'すじ']",11
話,9,['ワ'],"['はなし', 'はな（す）']",13
悪,8,"['アク', 'オ']","['わる（い）', 'あ（し）', 'いずく（んぞ）', 'にく（む）']",11
亜,2,['ア'],"['つ（ぐ）', 'はふり']",7
安,8,['アン'],"['やす（い）', 'いずく（んぞ）', 'やす（んじる）']",6
暗,8,['アン'],"['くら（い）', 'そら（んじる）', 'やみ']",13
意,8,['イ'],"['おも（う）', 'こころ']",13
委,8,['イ'],"['ゆだ（ねる）', 'お（く）', 'くわ（しい）', 'す（てる）', 'まか（せる）']",8
医,8,['イ'],"['い（やす）', 'くすし']",7
匚,1,['ホウ'],['はこ'],2
育,8,['イク'],"['そだ（つ）', 'そだ（てる）', 'はぐく（む）']",8
院,8,['イン'],"['かき', 'かこい']",10
阝,-1,[],[],3
完,7,['カン'],['まっと（うする）'],7
員,8,"['イン', 'エン', 'ウン']",['かず'],10
飲,8,"['イン', 'オン']","['の（む）', 'の（ます）', 'みずか（う）']",12
運,8,['ウン'],"['はこ（ぶ）', 'さだめ', 'めぐ（る）']",12
軍,7,"['グン', 'クン']","['いくさ', 'つわもの']",9
泳,8,['エイ'],['およ（ぐ）'],8
永,6,"['エイ', 'ヨウ']","['なが（い）', 'とこしえ']",5
駅,8,['エキ'],['うまや'],14
横,8,"['オウ', 'コウ']","['よこ', 'よこ（たわる）']",15
央,8,"['オウ', 'エイ', 'ヨウ']",['なか（ば）'],5
屋,8,['オク'],"['や', 'いえ', 'やね']",9
尸,1,['シ'],"['かたしろ', 'かばね', 'しかばね', 'つかさど（る）']",3
温,8,"['オン', 'ウン']","['あたた（か）', 'あたた（かい）', 'あたた（まる）', 'あたた（める）', 'たず（ねる）', 'つつ（む）', 'ぬく（い）', 'ぬく（まる）', 'ぬく（める）', 'ぬる（い）']",12
昷,-1,['オン'],[],9
荷,8,['カ'],"['に', 'にな（う）', 'はす']",10
開,8,['カイ'],"['あ（く）', 'あ（ける）', 'ひら（く）', 'ひら（ける）', 'はだ（かる）', 'はだ（ける）']",12
界,8,['カイ'],['さかい'],9
介,4,['カイ'],"['すけ', 'たす（ける）']",4
階,8,['カイ'],"['きざはし', 'しな', 'はしご']",12
皆,4,['カイ'],['みな'],9
館,8,['カン'],"['やかた', 'たち', 'たて']",16
官,7,['カン'],"['おおやけ', 'つかさ']",8
感,8,['カン'],[],13
咸,1,['カン'],"['ことごと（く）', 'みな']",9
寒,8,['カン'],"['さむ（い）', 'いや（しい）', 'さび（しい）', 'まず（しい）']",12
井,7,"['ショウ', 'セイ']","['い', 'いげた']",4
漢,8,['カン'],"['おとこ', 'から']",13
夫,7,"['フ', 'フウ', 'ブ']","['おっと', 'おとこ', 'それ']",4
